consent_file_no,industry_name,industry_category,sector,nic_code,industrial_area,taluk,district,pin_code,latitude,longitude,pan,gstin,cin,phone,email,date_of_commissioning,valid_until
KSPCB/BNG/001/2022,Rao Corp,red,Pharmaceutical manufacturing,21001,Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,560058,12.881837,77.762122,CRHPR9835D,,,,raocorp29@company.in,2011-06-29,2016-06-27
KSPCB/BNG/002/2020,Naidu Products,red,Chemical manufacturing,20119,Jigani Industrial Area,Anekal,Bengaluru Urban,562106,,,CRHPR9835D,,,6796467064,naiduproducts96@yahoo.com,2016-01-09,2021-01-07
KSPCB/BNG/003/2020,Anand Traders,orange,Metal fabrication,25910,Jigani Industrial Area,Anekal,Bengaluru Urban,562106,12.950772,77.467454,,,,8858006567,anandtraders82@gmail.com,2020-08-26,2030-08-24
KSPCB/BNG/004/2022,Pillai Systems,green,Textile / garment,13111,Whitefield,KR Puram,Bengaluru Urban,560066,13.047593,77.649297,,,,6373971550,pillaisystems43@company.in,2009-02-27,2024-02-24
KSPCB/BNG/005/2020,Menon Manufacturing,orange,Food processing,10101,Dobbaspet Industrial Area,Nelamangala,Bengaluru Rural,572215,12.913908,77.792064,,,,,,2018-09-18,2028-09-15
KSPCB/BNG/006/2023,Menon Industries Limited,green,Electronics / IT hardware,26200,Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,12.852648,77.742459,JZSCP9337V,29JZSCP9337V1Z5,,,menonindustrieslim12@company.in,2004-03-29,2019-03-26
KSPCB/BNG/007/2021,Bhat Engineering Private Limited,orange,Plastic products,22209,Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,,,JZSCP6876N,,,6909047796,bhatengineeringpri49@company.in,2001-12-09,2011-12-07
KSPCB/BNG/008/2023,Kumar Engineering & Co,green,Printing and publishing,18101,Peenya Industrial Area Phase 3,Yeshwanthpur,Bengaluru Urban,560058,,,JZSCP6433E,,U18101KA2014PTC909919,7323246338,kumarengineeringco93@company.in,2001-08-10,2016-08-06
KSPCB/BNG/009/2019,Iyer Enterprises Private Limited,orange,Rubber products,22190,Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,,,FXWCG6219O,,,9653776073,iyerenterprisespri30@gmail.com,2011-06-26,2021-06-23
KSPCB/BNG/010/2018,Desai Agencies LLP,orange,Auto components,29300,Electronic City Phase 1,Anekal,Bengaluru Urban,560100,,,,,,8448653664,desaiagenciesllp51@rediffmail.com,2000-09-30,2010-09-28
KSPCB/BNG/011/2022,Naidu Pharma & Co,green,Electrical equipment,27900,Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,,,MWXFA3972S,29MWXFA3972S1Z5,,7301491913,naidupharmaco27@outlook.com,2021-07-18,2036-07-14
KSPCB/BNG/012/2022,Raghavan Products & Co,green,Paper / packaging,17010,Whitefield,KR Puram,Bengaluru Urban,560066,12.924689,77.735957,,29BPNFE9015R1Z5,,6720227574,raghavanproductsco74@gmail.com,2006-06-27,2021-06-23
KSPCB/BNG/013/2020,Shetty Products Private Limited,green,Electrical equipment,27900,Electronic City Phase 2,Anekal,Bengaluru Urban,560100,13.060672,77.738867,,,,9668739843,shettyproductspriv71@outlook.com,2006-04-28,2021-04-24
KSPCB/BNG/014/2019,Krishnan Plastics & Co,green,Electronics / IT hardware,26200,Electronic City Phase 1,Anekal,Bengaluru Urban,560100,12.894351,77.455932,AVHFY1115H,29AVHFY1115H1Z5,,7566768635,krishnanplasticsco96@company.in,2005-04-11,2020-04-07
KSPCB/BNG/015/2018,Verma Fabricators LLP,orange,Food processing,10101,Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,,,VBIFZ1475C,29VBIFZ1475C1Z5,,9434532157,vermafabricatorsll66@gmail.com,2015-11-18,2025-11-15
KSPCB/BNG/016/2022,Bhat Works LLP,orange,Plastic products,22209,Bommasandra Industrial Area Phase 4,Anekal,Bengaluru Urban,560099,12.974231,77.602171,RRJFW9792E,29RRJFW9792E1Z5,,,bhatworksllp73@gmail.com,1999-02-13,2009-02-10
